kategori,nama_makanan,protein_g,karbohidrat_g,lemak_g,serat_g,gula_g,kalori
milk,"milk, human",1,6.9,4.4,0,6.9,71.1
milk,"milk, nfs",3.3,4.9,2,0,4.9,50.8
milk,"milk, whole",3.3,4.7,3.2,0,4.8,60.6
milk,"milk, low sodium, whole",3.1,4.5,3.5,0,4.5,61.4
milk,"milk, calcium fortified, whole",3.3,4.7,3.2,0,4.8,60.6
milk,"milk, calcium fortified, low fat (1%)",3.4,5.2,1,0,5,42.8
milk,"milk, calcium fortified, fat free (skim)",3.4,4.8,0.2,0,4.8,34.6
milk,"milk, reduced fat (2%)",3.4,4.9,1.9,0,4.9,50.1
milk,"milk, acidophilus, low fat (1%)",3.4,5.2,1,0,5,42.8
milk,"milk, acidophilus, reduced fat (2%)",3.4,4.9,1.9,0,4.9,50.1
milk,"milk, low fat (1%)",3.4,5.2,1,0,5,42.8
milk,"milk, fat free (skim)",3.4,4.9,0.1,0,5,34
milk,"milk, lactose free, low fat (1%)",3.4,5.2,1,0,5,42.8
milk,"milk, lactose free, fat free (skim)",3.4,4.9,0.1,0,5,34
milk,"milk, lactose free, reduced fat (2%)",3.4,4.9,1.9,0,4.9,50.1
milk,"milk, lactose free, whole",3.3,4.7,3.2,0,4.8,60.6
buttermilk,"buttermilk, fat free (skim)",3.3,4.8,1.1,0,4.8,42
buttermilk,"buttermilk, low fat (1%)",3.3,4.8,1.1,0,4.8,42
buttermilk,"buttermilk, reduced fat (2%)",4.1,5.3,2,0,5.3,55.6
buttermilk,"buttermilk, whole",3.2,4.9,3.3,0,4.9,62.2
kefir,"kefir, ns as to fat content",3.6,7.5,1,0,6.9,52.9
goat's milk,"goat's milk, whole",3.6,4.4,4.1,0,4.4,69.3
milk,"milk, dry, reconstituted, ns as to fat content",3.2,4.6,0.1,0,4.6,31.8
milk,"milk, dry, reconstituted, whole",4,5.9,4.1,0,5.9,76.2
milk,"milk, dry, reconstituted, low fat (1%)",3.2,4.6,1,0,4.6,40
milk,"milk, dry, reconstituted, fat free (skim)",3.2,4.6,0.1,0,4.6,31.8
milk,"milk, evaporated, ns as to fat content",6.8,10,7.6,0,10,135.4
milk,"milk, evaporated, whole",6.8,10,7.6,0,10,135.4
milk,"milk, evaporated, reduced fat (2%)",7.4,11.2,2,0,11.2,91.9
milk,"milk, evaporated, fat free (skim)",7.6,11.4,0.2,0,11.4,77.4
milk,"milk, condensed, sweetened",7.9,54.4,8.7,0,54.4,327.5
non-dairy milk,"non-dairy milk, nfs",1,3.8,1.2,0.2,3,29.7
soy milk,soy milk,2.6,4.9,1.5,0.2,3.6,43.3
soy milk,"soy milk, light",2.4,3.5,0.8,0.3,2.6,30.5
soy milk,"soy milk, nonfat",2.5,4.1,0,0.2,3.6,26.8
soy milk,"soy milk, chocolate",2.3,10,1.5,0.4,7.9,62.6
soy milk,"soy milk, light, chocolate",2.1,8.2,0.6,0.7,7.1,47.1
soy milk,"soy milk, nonfat, chocolate",2.1,8.2,0.6,0.7,7.1,47.1
almond milk,"almond milk, sweetened",0.4,5.2,0.9,0.2,4.8,30.8
almond milk,"almond milk, sweetened, chocolate",0.4,8.3,1,0.3,7.7,43.6
almond milk,"almond milk, unsweetened",0.4,1.3,1,0.2,0.8,15.5
almond milk,"almond milk, unsweetened, chocolate",0.5,1.5,1,0.3,0.8,16.8
rice milk,rice milk,0.3,9.2,1,0.3,5.3,46.5
coconut milk,coconut milk,0.2,2.9,2.1,0,2.5,31.2
yogurt,"yogurt, nfs",5.2,7,1.6,0,7,63.1
yogurt,"yogurt, greek, ns as to type of milk or flavor",10,3.9,1.9,0,3.6,72.8
yogurt,"yogurt, ns as to type of milk or flavor",5.2,7,1.6,0,7,63.1
yogurt,"yogurt, ns as to type of milk, plain",5.2,7,1.6,0,7,63.1
yogurt,"yogurt, whole milk, plain",3.5,4.7,3.2,0,4.7,61.8
yogurt,"yogurt, low fat milk, plain",5.2,7,1.6,0,7,63.1
yogurt,"yogurt, nonfat milk, plain",5.7,7.7,0.2,0,7.7,55.3
yogurt,"yogurt, greek, ns as to type of milk, plain",10,3.9,1.9,0,3.6,72.8
yogurt,"yogurt, greek, whole milk, plain",9,4,5,0,4,96.9
yogurt,"yogurt, greek, low fat milk, plain",10,3.9,1.9,0,3.6,72.8
yogurt,"yogurt, greek, nonfat milk, plain",10.3,3.6,0.4,0,3.3,59.1
yogurt,"yogurt, ns as to type of milk, fruit",4.7,14.5,1.4,0.1,12,88.8
yogurt,"yogurt, whole milk, fruit",3.1,12.4,2.9,0.1,9.9,87.7
yogurt,"yogurt, low fat milk, fruit",4.7,14.5,1.4,0.1,12,88.8
yogurt,"yogurt, nonfat milk, fruit",5.1,15,0.2,0.1,12.6,82
yogurt,"yogurt, greek, ns as to type of milk, fruit",8.2,12.3,2.6,1,11.2,105
yogurt,"yogurt, greek, whole milk, fruit",7.3,12.3,3,0,12,105.5
yogurt,"yogurt, greek, low fat milk, fruit",8.2,12.3,2.6,1,11.2,105
yogurt,"yogurt, greek, nonfat milk, fruit",8.1,12.2,0.2,0.6,11.5,82.4
yogurt,"yogurt, ns as to type of milk, flavors other than fruit",5.1,9.8,1.5,0,9.8,73.2
yogurt,"yogurt, whole milk, flavors other than fruit",3.3,9.4,3.1,0,9.4,78.7
yogurt,"yogurt, low fat milk, flavors other than fruit",5.1,9.8,1.5,0,9.8,73.2
yogurt,"yogurt, nonfat milk, flavors other than fruit",5.6,10.4,0.2,0,10.4,65.6
yogurt,"yogurt, greek, ns as to type of milk, flavors other than fruit",8.6,9.5,2.5,0,9.5,95.2
yogurt,"yogurt, greek, whole milk, flavors other than fruit",8.5,9.4,4.4,0,9.4,111.2
yogurt,"yogurt, greek, low fat milk, flavors other than fruit",8.6,9.5,2.5,0,9.5,95.2
yogurt,"yogurt, greek, nonfat milk, flavors other than fruit",8.6,10.4,0.2,0.5,9.5,77.7
yogurt,"yogurt, greek, with oats",8.9,22.4,4.3,1.9,12.1,163.7
yogurt,"yogurt, liquid",3.7,11.8,1.1,0.1,9.8,71.9
chipotle dip,"chipotle dip, yogurt based",7.9,3.3,16,0,3,189
dill dip,"dill dip, yogurt based",8.2,3.8,16,0.3,3,192
onion dip,"onion dip, yogurt based",6.8,4.1,12.9,0.2,3.4,159.5
ranch dip,"ranch dip, yogurt based",8.5,4.1,16.1,0.3,3.4,195.2
spinach dip,"spinach dip, yogurt based",7,3.6,12.9,0.3,3,158.9
tzatziki dip,tzatziki dip,5.4,4,6.3,0.2,2.9,94
vegetable dip,"vegetable dip, yogurt based",8.2,3.8,16,0.3,3,192
yogurt parfait,"yogurt parfait, low fat, with fruit",3.4,15.9,1,1.1,11.7,86
frozen yogurt,"frozen yogurt, nfs",3,21.6,3.6,0,19.9,130.8
frozen yogurt,"frozen yogurt, vanilla",3,21.6,3.6,0,19.9,130.8
frozen yogurt,"frozen yogurt, chocolate",3,21.6,3.6,2.3,19.2,130.8
frozen yogurt,"frozen yogurt, soft serve, vanilla",4,24.2,5.6,0,24,163.2
frozen yogurt,"frozen yogurt, soft serve, chocolate",4.3,24.9,5.8,0.7,23.6,168.6
frozen yogurt sandwich,frozen yogurt sandwich,3.9,34.4,6.2,0.8,24.3,209.4
frozen yogurt bar,"frozen yogurt bar, vanilla",3,21.6,3.6,0,19.9,130.8
frozen yogurt bar,"frozen yogurt bar, chocolate",3,21.6,3.6,2.3,19.2,130.8
frozen yogurt cone,"frozen yogurt cone, chocolate",3.2,23.9,3.7,2.3,18.7,142
frozen yogurt cone,"frozen yogurt cone, vanilla",3.2,23.9,3.7,0.1,19.4,142
frozen yogurt cone,"frozen yogurt cone, vanilla, waffle cone",3.3,25.3,3.6,0.1,20.3,146.8
frozen yogurt cone,"frozen yogurt cone, chocolate, waffle cone",3.3,25.3,3.6,2.3,19.6,146.8
yogurt,"yogurt, whole milk, baby food",3.5,4.7,3.2,0,4.7,61.8
yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",3.4,13.2,3.5,0.3,11.5,98.2
yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",3,13,3.1,0.6,11.5,91.9
yogurt,"yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",3.4,13.2,3.5,0.3,11.5,98.2
chocolate milk,"chocolate milk, nfs",3.4,13.5,0,0,8.4,67.4
chocolate milk,"chocolate milk, ready to drink, whole",3.2,10.3,3.4,0.8,9.5,84.6
chocolate milk,"chocolate milk, ready to drink, reduced fat",3,12.1,1.9,0.7,9.6,77.6
chocolate milk,"chocolate milk, ready to drink, fat free",3.4,13.5,0,0,8.4,67.4
chocolate milk,"chocolate milk, ready to drink, low fat",3.5,10.2,1.1,0.1,9.9,64.4
chocolate milk,"chocolate milk, ready to drink, reduced sugar, ns as to milk",3.4,7.7,1,0,7.3,53.8
chocolate milk,"chocolate milk, ready to drink, low fat (nesquik)",3.5,10.2,1.1,0.1,9.9,64.4
chocolate milk,"chocolate milk, ready to drink, fat free (nesquik)",3.4,13.5,0,0,8.4,67.4
chocolate milk,"chocolate milk, ready to drink, low fat, no sugar added (nesquik)",3.5,10.2,1.1,0.1,9.9,64.4
hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink",2.7,16.5,1.5,0,15.2,90.9
hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with nonfat milk",2.8,16.5,0.1,0,15.3,77.8
hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with non-dairy milk",1.2,16.7,1,0.2,14.6,80.4
hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, with whipped cream",2.7,15.9,3.2,0,14.6,103.1
hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with nonfat milk and whipped cream",2.8,15.9,1.8,0,14.7,90.6
hot chocolate / cocoa,"hot chocolate / cocoa, ready to drink, made with non-dairy milk and whipped cream",1.3,16,2.6,0.2,14.1,93
chocolate milk,"chocolate milk, made from dry mix, ns as to type of milk",3.4,10.1,2,0.3,9.6,72.2
chocolate milk,"chocolate milk, made from dry mix with whole milk",3.4,9.9,3.1,0.3,9.6,81.5
chocolate milk,"chocolate milk, made from dry mix with reduced fat milk",3.4,10.2,1.9,0.3,9.6,71.6
chocolate milk,"chocolate milk, made from dry mix with low fat milk",3.4,10.4,1,0.3,9.7,64.8
chocolate milk,"chocolate milk, made from dry mix with fat free milk",3.5,10.1,0.2,0.3,9.8,56.5
chocolate milk,"chocolate milk, made from dry mix with non-dairy milk",1.7,10.3,1.3,0.5,9,59.4
chocolate milk,"chocolate milk, made from reduced sugar mix, ns as to type of milk",3.6,7.6,2.1,0.4,5.9,63.7
chocolate milk,"chocolate milk, made from reduced sugar mix with whole milk",3.5,7.4,3.3,0.4,5.8,73.1
chocolate milk,"chocolate milk, made from reduced sugar mix with reduced fat milk",3.6,7.6,2,0.4,5.9,63
chocolate milk,"chocolate milk, made from reduced sugar mix with low fat milk",3.6,7.9,1.1,0.4,5.9,56.1
chocolate milk,"chocolate milk, made from reduced sugar mix with fat free milk",3.7,7.6,0.3,0.4,6,47.6
chocolate milk,"chocolate milk, made from reduced sugar mix with non-dairy milk",1.8,7.8,1.3,0.6,5.2,50.6
chocolate milk,"chocolate milk, made from dry mix, ns as to type of milk (nesquik)",3.4,10.1,2,0.3,9.6,72.2
chocolate milk,"chocolate milk, made from dry mix with whole milk (nesquik)",3.4,9.9,3.1,0.3,9.6,81.5
chocolate milk,"chocolate milk, made from dry mix with reduced fat milk (nesquik)",3.4,10.2,1.9,0.3,9.6,71.6
chocolate milk,"chocolate milk, made from dry mix with low fat milk (nesquik)",3.4,10.4,1,0.3,9.7,64.8
chocolate milk,"chocolate milk, made from dry mix with fat free milk (nesquik)",3.5,10.1,0.2,0.3,9.8,56.5
chocolate milk,"chocolate milk, made from dry mix with non-dairy milk (nesquik)",1.7,10.3,1.3,0.5,9,59.4
chocolate milk,"chocolate milk, made from no sugar added dry mix, ns as to type of milk (nesquik)",3.6,7.6,2.1,0.4,5.9,63.7
chocolate milk,"chocolate milk, made from no sugar added dry mix with whole milk (nesquik)",3.5,7.4,3.3,0.4,5.8,73.1
chocolate milk,"chocolate milk, made from no sugar added dry mix with reduced fat milk (nesquik)",3.6,7.6,2,0.4,5.9,63
chocolate milk,"chocolate milk, made from no sugar added dry mix with low fat milk (nesquik)",3.6,7.9,1.1,0.4,5.9,56.1
chocolate milk,"chocolate milk, made from no sugar added dry mix with fat free milk  (nesquik)",3.7,7.6,0.3,0.4,6,47.6
chocolate milk,"chocolate milk, made from no sugar added dry mix with non-dairy milk (nesquik)",1.8,7.8,1.3,0.6,5.2,50.6
chocolate milk,"chocolate milk, made from syrup, ns as to type of milk",2.9,13.2,1.7,0,12.2,79.8
chocolate milk,"chocolate milk, made from syrup with whole milk",2.8,13,2.8,0,12.2,88.3
chocolate milk,"chocolate milk, made from syrup with reduced fat milk",2.9,13.2,1.6,0,12.2,79.3
chocolate milk,"chocolate milk, made from syrup with low fat milk",2.9,13.4,0.8,0,12.3,72.9
chocolate milk,"chocolate milk, made from syrup with fat free milk",3,13.2,0.1,0,12.4,65.3
chocolate milk,"chocolate milk, made from syrup with non-dairy milk",1.3,13.4,1,0.2,11.6,68
chocolate milk,"chocolate milk, made from light syrup, ns as to type of milk",3.1,8.6,1.9,0,7.9,63.5
chocolate milk,"chocolate milk, made from light syrup with whole milk",3,8.4,2.9,0,7.8,72.1
